Link,Abstrak,Author,Pub,Ed
detail.jsp?id=44980&lokasi=lokal,"Ekstraksi Dimensi Kualitas Layanan Ridesourcing yang Memengaruhi Kepuasan Pelanggan Menggunakan Latent Dirichlet Allocation: Studi Kasus GO-JEK Ulasan atau umpan balik merupakan medium untuk menyampaikan pengalaman perjalanan yang dilakukan oleh pengguna ridesourcing. Hal tersebut menyebabkan ulasan atau umpan balik menjadi sumber untuk penambangan informasi dan pengetahuan. Penelitian ini mengajukan bahwa penambangan tersebut berupa ekstraksi dimensi kualitas layanan pada ridesourcing dan klasifikasi sentimen untuk menandakan kepuasan pelanggan. Dalam penelitian ini, penulis mengidentifikasi dimensi kualitas layanan pada ridesourcing menggunakan metode atent dirichlet allocation (LDA). Data yang digunakan adalah data umpan balik pada salah satu penyedia layanan ridesourcing ojek di Indonesia. LDA menemukan 18 dimensi yang sesuai dengan karakteristik layanan ridesourcing yang dapat dijadikan kunci untuk meningkatkan kualitas layanan. Dengan analisis sentimen, terlihat bahwa ada pengaruh kualitas layanan pada kepuasan pelanggan. Secara umum dimensi-dimensi yang ditemukan harus ditingkatkan dalam segi kualitas. Penulis juga mengidentifikasi dimensi perbedaan pada karakteristik atau segmen pelanggan. Pada penelitian ini dijelaskan diskusi dan implikasi yang mengarah kepada kesimpulan.",Prima Permata Lusiana  ," Publisher: Depok: Fakultas Ilmu Komputer, 2017 Call Number: SK-1539  (Softcopy SK-1021) ",Achmad Nizar
detail.jsp?id=46458&lokasi=lokal,"Skripsi : Ekstraksi Fitur Skeleton Manusia dari Citra Video Telepon Pintar untuk Pengenalan Kata Dasar Isyarat SIBI (Sistem Isyarat Bahasa Indonesia) SIBI (Sistem Isyarat Bahasa Indonesia) merupakan bahasa isyarat resmi yang digunakan oleh penyandang tunarungu di Indonesia untuk berkomunikasi seharihari baik dengan sesama penyandang tunarungu maupun orang non-tunarungu. Adanya aplikasi penerjemah gerakan Bahasa isyarat ke teks akan sangat membantu proses komunikasi antara tunarungu dan non-tunarungu. Salah satu fitur yang dibutuhkan untuk pengembangan model penerjemah SIBI adalah informasi kerangka manusia (skeleton). Penelitian ini bertujuan untuk mengembangkan metode ekstraksi fitur kerangka manusia dari citra video telepon pintar untuk melatih model pembelajaran mesin LSTM (Long Short-Term Memory) pengenal gerakan kata dasar SIBI. Metode ekstraksi fitur yang dikembangkan menggunakan Haar Cascade untuk identifikasi titik bahu, algoritma Lucas-Kanade untuk melacak titik tangan, dan menggunakan interpolasi antara titik bahu dan tangan untuk mengidentifikasi titik siku. Dari titik-titik skeleton tersebut, dihitung sudut antara bahu dan lengan atas, serta bahu dan lengan bawah. Hasil ekstraksi digunakan sebagai input untuk model pembelajaran mesin LSTM yang telah dikembangkan sebelumnya. Penelitian ini berhasil mengembangkan metode ekstraksi skeleton yang saat dimasukkan ke model LSTM menghasilkan model dengan akurasi terbaik hingga 84.64%. Model dengan akurasi terbaik tersebut adalah model LSTM 2 layer dan dilatih dengan parameter jumlah hidden unit 512, jumlah batch 100, dan iterasi training 1800 epoch.",Aulia Astrico Pratama  ," Publisher: Depok: Fakultas Ilmu Komputer Universitas Indonesia, 2018 Call Number: SK-1665 (Softcopy Sk-1147) ",Dadan Hardian
detail.jsp?id=46460&lokasi=lokal,"Ekstraksi Fitur Tangan dari Citra Telepon Pintar menggunakan Elliptical Fourier Descriptor, Centroid, dan Area untuk Mengenali Isyarat Kata Berimbuhan SIBI (Sistem Isyarat Bahasa Indonesia) Sistem Isyarat Bahasa Indonesia (SIBI) merupakan bahasa isyarat resmi untuk Bahasa Indonesia. Dengan adanya teknologi smartphone, pengembangan sistem penerjemah isyarat SIBI ke teks yang dapat digunakan oleh banyak orang menjadi memungkinkan. Isyarat yang diterjemahkan pada penelitian ini adalah isyarat kata berimbuhan yang mengandung isyarat terbanyak pada SIBI. Isyarat kata berimbuhan SIBI adalah isyarat yang dibangun dengan mengombinasikan isyarat awalan dan akhiran dengan isyarat kata dasar. Untuk menerjemahkan isyarat tangan ke teks dengan cepat dan akurat diperlukan fitur yang mampu mendeskripsikan karakteristik dari isyarat kata berimbuhan SIBI. Tujuan penelitian ini adalah menemukan kombinasi fitur terbaik dari Elliptical Fourier Descriptor (EFD) dengan berbagai order, Centroid, dan Area. Hasil pengamatan menunjukkan EFD order 10 menghasilkan aproksimasi contour yang mendekati contour aslinya. Model yang digunakan di dalam penelitian ini adalah 2-layer Long Short-Term Memory (LSTM). Terdapat dua dataset yang digunakan di dalam penelitian ini, di mana keduanya berisi 7 awalan dan 11 akhiran. Dataset I, terdiri dari 46 kata dasar, sedangkan dataset II merupakan subset dari dataset I dengan 8 kata dasar. Dengan jumlah kata dasar yang lebih sedikit, dataset II digunakan untuk mencari kombinasi fitur terbaik yang kemudian digunakan pada dataset I. Kedua dataset kemudian dilakukan processing dan formatting sehingga menghasilkan komponen awalan, kata dasar, akhiran, dan gabungan. Komponen gabungan hanya dimiliki oleh dataset I. Berdasarkan hasil eksperimen pada dataset II dengan order EFD 10, komponen awalan, kata dasar, dan akhiran berhasil memberikan akurasi terbaik sebesar 71.75%, 99.59%, dan 86.88%. Hasil eksperimen terhadap order 10 hingga 15 pada dataset II tidak menunjukkan perbedaan akurasi yang signifikan dalam mendeskripsikan bentuk tangan, sedangkan hasil eksperimen terhadap order 1, 5, dan 10 pada dataset II menunjukkan perbedaan akurasi yang signifikan. Pada eksperimen ini ditemukan bahwa order 14 memiliki hasil akurasi terbaik dan digunakan pada eksperimen berikutnya. Berdasarkan hasil eksperimen pada dataset I dengan order EFD 14, komponen awalan, kata dasar, akhiran, dan gabungan berhasil mendapatkan akurasi tertinggi sebesar 73.94%, 86.34%, 93.36%, dan 57.63%.",Mohamad Haris Nur Fauzan  ," Publisher: Depok: Fakultas Ilmu Komputer Universitas Indonesia, 2018 Call Number: SK-1667 (softcopy SK-1149) Source Code 668 ",Dadan Hardian
detail.jsp?id=44984&lokasi=lokal,"Ekstraksi Frase Kunci pada Pertanyaan Forum Kesehatan Online dengan Pendekatan Deep Learning Banyaknya konten kesehatan atau medis yang bersifat user-generated, seperti pertanyaan tentang gejala atau penyakit yang ditanyakan oleh pengguna pada forum kesehatan online, atau blog kesehatan memiliki potensi untuk menambah pengetahuan pada bidang document retrieval dan text-mining bidang kesehatan. Mengurangi kompleksitas informasi pada teks bebas menjadi bentuk yang lebih terstruktur akan memberikan banyak manfaat untuk proses pengolahan teks. Pada penelitian ini, penulis menggunakan ekstraksi frase kunci untuk memperoleh informasi penting dari user-generated content bidang kesehatan. Penulis mengajukan model deep learning yang mengombinasikan long-short term memory networks dan convolutional neural networks. Kemudian, penulis juga menggunakan word embedding, konsep kesehatan dari knowledge base, dan beberapa komponen linguistik sebagai fitur. Metode yang diajukan mendapatkan F-Measure sebesar 84.96%.",Ilham Fathy Saputra  ," Publisher: Depok: Fakultas Ilmu Komputer, 2017 Call Number: SK-1553 (Softcopy SK-1036) Source Code SK-628 ",Rahmad Mahendra
detail.jsp?id=44995&lokasi=lokal,"Ekstraksi Hubungan Symptom-Disease Pada Sistem Tanya Jawab Bidang Kesehatan Menggunakan Metode Support Vector Machine dan Multi Layer Perceptron Ekstraksi Informasi merupakan suatu pekerjaan dalam bidang pemrosesan bahasa untuk mengubah informasi yang tidak beraturan yang terdapat pada suatu dokumen menjadi suatu informasi yang terstruktur. Salah satu pekerjaan yang ada dalam Ekstraksi Informasi adalah Ekstraksi Hubungan, yaitu sebuah pekerjaan untuk memasangkan entitas-entitas bernama yang ada pada teks dengan sebuah hubungan. Penelitian yang dikerjakan penulis kali ini menggunakan pendekatan pembelajaran mesin supervised dengan model Support Vector Machine (SVM) dan Multi Layer Perceptron (MLP) untuk mengklasifikasikan hubungan ""mengindikasikan"" antara pasangan entitas Gejala (dianotasikan dengan Symptom) dan Penyakit (dianotasikan dengan Disease) untuk suatu pasangan pertanyaan dan jawaban pada sistem tanya jawab medis, yaitu hubungan yang menyatakan apakah suatu entitas Gejala merupakan gejala dari suatu entitas Penyakit. Dalam penelitian ini, hubungan yang diklasifikasikan oleh penulis hanyalah hubungan ""mengindikasikan"" antara entitas Gejala dan Penyakit saja, sehingga klasifikasi yang dikerjakan adalah klasifikasi biner. Dalam penelitian ini diusulkan dua buah modul, yaitu modul untuk melakukan ekstraksi hubungan antar pasangan entitas yang berada dalam satu kalimat dan yang terpisah antar kalimat. Untuk model klasifikasi pasangan entitas dalam satu kalimat, model dengan nilai F1 Score terbaik adalah MLP berukuran 3 hidden layer 5 neuron tanpa fitur POS Tag menggunakan teknik penyeimbangan SMOTE dengan nilai F1 Score 0.85 untuk kelas yang tidak berelasi dan 0.76 untuk kelas yang berelasi. Untuk model klasifikasi pasangan entitas yang terpisah antar kalimat, model dengan nilai F1 Score terbaik adalah MLP berukuran 3 hidden layer 5 neuron dengan fitur POS Tag menggunakan teknik penyeimbangan SMOTE dengan nilai F1 Score 0.93 untuk kelas yang tidak berelasi dan 0.40 untuk kelas yang berelasi",Christinan Halim  ," Publisher: Depok: Fakultas Ilmu Komputer, 2017 Call Number: SK-1562 (Softcopy SK-1044) Source Code SK-637 ",Mirna Adriani
detail.jsp?id=45742&lokasi=lokal,"Evaluasi Counterfactual menggunakan Tabling Gabungan pada Abduction dan Updating Program Logika serta Aplikasinya pada Bidang Machine Ethics Agen cerdas sudah secara aktif dikembangkan untuk bersifat otonom dan berinteraksi dengan agen-agen lain, tidak tertutup kemungkinan pada bidang-bidang yang melibatkan dilema moral. Untuk memecahkan masalah tersebut, machine ethics hadir sebagai suatu bidang yang berusaha memahami dan memodelkan secara komputasional pengambilan keputusan secara moral, salah satunya adalah melalui pendekatan yang memanfaatkan penalaran counterfactual. Dalam tugas akhir ini, QUALM, sebuah prototipe yang dapat mengevaluasi validitas dari suatu pernyataan counterfactual dirancang dan diimplementasikan dengan berbasiskan QUALM*, yang merupakan sebuah modul tabling gabungan pada abduction dan updating program logika yang telah dibangun oleh Sabili. Prototipe QUALM kemudian digunakan dalam sebuah aplikasi di bidang machine ethics, berupa interactive storytelling, yang mengilustrasikan secara visual penalaran counterfactual olehagencerdasdalampengambilankeputusanpadadilema-dilemamoralyangdigunakan di bidang ﬁlsafat dan psikologi. Dalam hal ini, penalaran counterfactual digunakanuntukmemberikanjustiﬁkasiapakahsuatukeputusanyangdiambiloleh agen cerdas diperbolehkan secara moral dengan berpedoman pada suatu prinsip moral yang sudah dikenal di bidang ﬁlsafat, yakni doctrine of double effect.",Adam Jordam  ," Publisher: Depok : Fak. Ilmu Komputer, 2018 Call Number: SK-1588 (Softcopy Sk-1070) ",Ari Sapta Wijaya
detail.jsp?id=44967&lokasi=lokal,"Evaluasi dan Perbaikan Desain Interaksi Wakaf Elektronik di Website Wakafquran.org Sebagai negara berpenduduk Muslim terbesar di dunia, Indonesia memiliki potensi yang sangat besar dalam mengimplementasi sistem wakaf online. Hal ini didukung dengan kenyataan bahwa penggunaan Internet di Indonesia telah mencapai 132.7 juta dari total 256.2 juta penduduk di Indonesia. Namun, peningkatan jumlah pengguna Internet di Indonesia tidak berkorelasi positif dengan jumlah pengguna wakafquran.org, sebuah sistem wakaf online yang dibangun oleh Badan Wakaf Al- Quran. Tingginya nilai bounce rate dan rendahnya nilai konversi merupakan beberapa masalah yang dihadapi oleh organisasi. Penelitian ini bertujuan memperbaiki user experience yang dirasakan pengguna di dalam website yang diharapkan dapat meningkatkan pengguna wakaf online di Indonesia. Evaluasi user experience dengan teknik kualitatif dan kuantitatif dilakukan untuk dapat menangkap penyebab dari masalah yang dihadapi organisasi. Penelitian ini menggunakan System Usability Scale dan User Experience Questionnaire sebagai metode penilaian kuantitatif dan melakukan usability testing sebagai metode penilaian kualitatif. Hasil dari penelitian ini menunjukkan bahwa terdapat komponen perbaikan desain interaksi yang dapat diimplementasi pada website wakafquran.org untuk meningkatkan kepuasan dan kenyamanan pengguna di dalam website.",Arsila Gishadia Rasnadiputri  ," Publisher: Depok: Fakultas Ilmu Komputer, 2017 Call Number: SK-1533 (Softcopy SK-1015 ",Harry Budi Santoso
detail.jsp?id=46128&lokasi=lokal,"Evaluasi dan Perbaikan Desain Interaksi pada Aplikasi Permainan Fire Response and Extinguish Education (FREE) dengan Pendekatan UserCentered Design untuk Anak-anak    Fire Response and Extinguish Education (FREE) merupakan permainan video berbasis Android yang mengajarkan pemainnya menghadapi berbagai situasi bencana kebakaran dengan cara memilih alat pemadam api ringan (APAR) yang tepat pada situasi tertentu. Dalam pengembangannya, FREE masih berasumsi bahwa penggunanya merupakan masyarakat umum dan belum memerhatikan potensi penggunaan oleh anak-anak usia sekolah, terutama anak-anak usia sekolah dasar. Penelitian ini dilakukan dengan tujuan untuk mengevaluasi dan memperbaiki desain interaksi pada aplikasi permainan FREE jika melibatkan anak-anak sebagai tester dalam proses pengembangan aplikasinya. Evaluasi dilakukan dengan cara user-centered design dan memanfaatkan fun toolkit, heuristic evaluation, dan contextual interview. Hasil evaluasi tersebut menghasilkan keperluan perbaikan yang kemudian diimplementasi menjadi rancangan perbaikan. Prototipe kemudian dibuat berdasarkan rancangan perbaikan. Prototipe diuji cobakan dan hasil uji coba menyimpulkan bahwa prototipe ini telah berhasil menjawab hasil evaluasi yang ada pada desain interaksi permainan sebelumnya.",Muhammad azmi Malik Ariefa  ," Publisher: Depok: Fakultas Ilmu Komputer Universitas Indonesia, 2018 Call Number: SK-1607 (Softcopy SK-1089) ",Harry Budi Santoso
detail.jsp?id=46708&lokasi=lokal,"Evaluasi dan Rekomendasi Perbaikan Desain Instruksional dan Antarmuka pada Massive Open Online Course (MOOC) Coursera Pembimbing : Dr. Dra. Kasiyah, M.Sc. Harry Budi Santoso, S.Kom., M.Kom., Ph.D. Massive Open Online Course (MOOC) merupakan salah satu bentuk implementasi pembelajaran daring. Rata-rata tingkat penyelesaian kelas (course) pada MOOC masih terbilang rendah. Penelitian ini bertujuan untuk mengetahui sejauh mana MOOC platform Coursera mengikuti prinsip-prinsip desain instruksional dan desain antarmuka. Prinsip-prinsip yang menjadi acuan adalah Gagnés Nine Events of Instruction, Chickering and Gamsons Seven Principles for Good Practice in Undergraduate Education, dan prinsip desain antarmuka Shneidermans Eight Golden Rules of Interface Design. Instrumen yang digunakan adalah kuesioner daring (E-Learning Usability Scale) dan task scenario pada evaluasi usability. Metode yang diterapkan adalah metode campuran yang mengintegrasikan dua metode, yaitu kualitatif dan kuantitatif. Hasil penelitian menunjukkan bahwa Coursera sudah menerapkan seluruh prinsip desain instruksional dan sudah menerapkan tujuh dari delapan poin pada prinsip desain antarmuka. Penelitian ini juga mengusulkan rekomendasi perbaikan berdasarkan hasil analisis data dari responden yang mayoritas berasal dari wilayah Jabodetabek.",Munadia Rahma Hanifa  ," Publisher: Depok: Fakultas Ilmu Komputer Universias Indonesia, 2019 Call Number: SK-1727 (Softcopy SK-1209) ",Kasiyah Junus
detail.jsp?id=46134&lokasi=lokal,"Evaluasi Desain Interaksi dan Pengembangan Prototipe Alternatif Website Airfrov Versi Mobile    Airfrov merupakan salah satu e-Commerce yang berperan sebagai platform untuk menitipkan barang ke traveller. Penelitian ini bertujuan untuk mengevaluasi desain interaksi, mengidentifikasi permasalahan, dan memberikan rancangan perbaikan berdasarkan hasil evaluasi pada situs mobile Airfrov. Evaluasi dilakukan dengan melakukan user research, usability testing, dan kuesioner berupa System Usability Scale (SUS) dan User Experience Questionnaire (UEQ). Hasil evaluasi menunjukkan bahwa desain interaksi pada Airfrov masih kurang baik. Berdasarkan hasil evaluasi, terdapat 87 evaluasi yang dikategorikan menjadi tujuh belas permasalahan. Tiga permasalahan yang paling sering muncul adalah keterbacaan informasi yang kurang baik, menu dan icon yang ambigu, serta pesan kesalahan, bantuan, tutorial, dan dokumentasi yang tidak memadai. Perbaikan didasarkan pada hasil evaluasi dan didukung dengan studi pustaka. Solusi perbaikan diimplementasikan dalam bentuk prototipe alternatif.",Komang Adelia Nala Ratih  ," Publisher: Depok: Fakultas Ilmu Komputer Universitas Indonesia, 2018 Call Number: SK-1610 (Softcopy SK-1092) ",Harry Budi Santoso
detail.jsp?id=46154&lokasi=lokal,"Evaluasi Interface Design pada Sistem Perizinan Online Kota Depok dengan Menggunakan Eight Golden Rules Pembimbing    : Dadan Hardianto      Penelitian ini membahas tentang evaluasi interface design pada Sistem Perizinan Online Kota Depok (Si-MPOK). Evaluasi sistem dilakukan dengan berpedoman pada Eight Golden Rules milik Shneiderman kepada pengguna Si-MPOK. Hasil evaluasi sistem digunakan untuk merancang usulan perbaikan pada sistem, terutama interface design sistem. Rancangan perbaikan kemudian dievaluasi kembali kepada pengguna Si-MPOK dan user experience researcher. Berdasarkan hasil evaluasi rancangan perbaikan, didapati bahwa usaha sistem dalam mencegah pengguna dalam melakukan kesalahan cukup membantu pengguna dalam menggunakan sistem.",Nadiyah Marsela  ," Publisher: Depok: Fakultas Ilmu Komputer Universitas Indonesia, 2018 Call Number: SK-1643 (Softcopy SK-1125) ",Dadan Hardiyan
detail.jsp?id=4478&lokasi=lokal,"Penggunaan Microsoft Windows dewasa ini cenderung diarahkan untuk melayani aplikasi-aplikasi client-server. Kinerja aplikasi client-server dipengaruhi oleh beberapa faktor, yang antara alin adalah kinerja komunikasi dan intensitas penggunaan sumber daya WIndows oleh aplikasi tersebut. Faktor-faktor tersebut sangat dipengaruhi oleh kompilator yang digunakan. Penelitian ini dilakukan untuk memperlihatkan sejauh mana perbedaan antara dua aplikasi Windows yang dibangun untuk satu tujuan spesifik yang sama, namun dengan kompilator yang berbeda. Sebagai studi kasus, dibangun dua buah aplikasi Windows untuk pengaksesan port serial (melalui MSComm. VBX) dengan algoritme yang sama, namun dipergunakan kompilator yang berbeda yaitu Microsoft Visual C++ versi 1.5 dan Visual Basic versi 3.0. Penelitian ini diharapkan dapat juga digunakan sebagai bahan rujukan untuk pemrograman port serial dengan microsoft Visual C++ atau visual basic. Dari tiga besaran pengukuran kinerja yang umum digunakan, yaitu responsifitas, produktifitas, penelitian ini menunjukkan bahwa program pengaksesan port serial yang dibangun dengan Visual C++, lebih cepat dan lebih produktif daripada yang dibangun dengan Visual Basic, namun tidak ada perbedaan dalam hal pemakaian sumberdaya Windows","Ivo, Setyadi  "," Publisher: Depok: Fasilkom UI, 1996 Call Number: SK-0319 ",Nursalim Hadi
detail.jsp?id=43507&lokasi=lokal,"Evaluasi Kualitas E-Service pada E-Government: Studi Kasus BPJS Kesehatan Indonesia Pemerintah Indonesia sudah mengimplementasikan e-government khususnya eservice, namun layanan tersebut belum teruji kualitasnya. Penelitian ini bertujuan untuk mengembangkan framework yang mengevaluasi kualitas dari e-service pada e-government. Framework kemudian digunakan untuk menilai e-service pada situs e-government BPJS Kesehatan Indonesia dan juga untuk membandingkan antara situs BPJS Kesehatan dengan situs PhilHealth Filipina. Evaluasi kualitas dilihat dari empat dimensi yaitu: website design, reliability, responsiveness, dan ease of use. Setelah itu, akan dilihat perbandingan antara BPJS Kesehatan dan PhilHealth. Hasil analisis menunjukan bahwa kualitas BPJS sudah baik pada dimensi reliability dan responsiveness, sedangkan untuk dimensi web design dan ease of use masih perlu ditingkatkan. Hasil analisis perbandingan menunjukan bahwa dari empat dimensi, PhilHealth lebih unggul daripada BPJS Kesehatan.",Aulia  Rarsyid  ," Publisher: Depok: Fakultas Ilmu Komputer UI, 2016 Call Number: SK-1446 (Softcopy SK-928) ",Ika Alfina
detail.jsp?id=46667&lokasi=lokal,"Evaluasi Massive Open Online Course (MOOC) Udacity Berdasarkan Prinsip Desain Instruksional dan Desain Antarmuka Pembimbing : Dr. Kasiyah Junus, M.Sc. & Harry Budi Santoso, M.Kom., Ph.D. Sejak pertama kali kemunculan MOOC, permasalahan rendahnya completion rates pada MOOC sering dijadikan objek penelitian ditinjau dari segi desain instruksional dan desain interaksi. Namun, belum terdapat penelitian yang mengkaji secara mendalam penerapan prinsip-prinsip desain instruksional dan desain antarmuka tersebut pada pembelajaran di MOOC platform. Tujuan dari penelitian ini adalah untuk mengetahui sejauh mana Udacity, menerapkan desain interaksi dan desain instruksional pada proses pembelajarannya. Penelitian ini juga bertujuan untuk mengetahui evaluasi usability dari MOOC platform tersebut. Penelitian ini menggunakan pendekatan metode campuran. Pengumpulan data kuantitatif menggunakan e-learning usability scale. Sementara itu, usability testing dilakukan untuk memperoleh data kualitatif. Dilakukan juga analisis terhadap prinsip-prinsip Gagnes nine events of instruction dan Chickering and Gamsons seven principle of good practice in online teaching. Hasil menunjukkan bahwa dalam segi content, course design dan interactivity, Udacity sudah memenuhi standar namun masih memiliki ruang perbaikan dari segi instructor presence. Terdapat juga beberapa permasalahan usabilty yang ditemukan, dan paling banyak terkait dengan forum diskusi daring. Dalam penelitian ini juga dijabarkan desain alternatif yang ditawarkan untuk meningkatkan usability dari Udacity.",Fayyanadhira Anyatasia  ," Publisher: Depok: Fakultas Ilmu Komputer Universias Indonesia, 2019 Call Number: SK-1691 (Softcopy SK-1173) ",Kasiyah Junus
detail.jsp?id=44960&lokasi=lokal,"Evaluasi dan Pengembangan Alternatif Desain Interaksi Website Staff Universitas Indonesia Website Staff Universitas Indonesia pertama kali dikembangkan pada tahun 2009 untuk membantu Universitas Indonesia mendapatkan peringkat yang baik padaWebometrics. Website Staff Universitas Indonesia merupakan sebuah portal untuk mengakses dan mencari informasi mengenai dosen, staf, atau peneliti yang berada di lingkungan Universitas Indonesia. Tetapi, hingga saat ini situs web tersebut dinilai belum memenuhi fungsi utamanya. Hal ini dikarenakan fitur pencarian yang ada pada situs web tersebut belum dapat memenuhi ekspektasi pengguna, selain itu tampilan situs web yang kurang menarik cukup memiliki andil pada pemanfaatan situs web tersebut. Pada skripsi ini, akan diukur tingkat usability Website Staff Universitas Indonesia saat ini, dibuat alternatif desain interaksi Website Staff Universitas Indonesia, dan dirumuskan fasilitas pencarian dalam Website Staff Universitas Indonesia. Hasil penelitian ini adalah pengukuran tingkat usability, alternatif desain interaksi, dan perumusan fasilitas pencarian dalam Website Staff Universitas Indonesia.",Andre Valerian  ," Publisher: Depok: Fakultas Ilmu Komputer, 2017 Call Number: SK-1526 (Softcopy SK-1008) ",Harry Budi Santoso
detail.jsp?id=45736&lokasi=lokal,"Evaluasi dan Perbaikan Desain Interaksi pada website Tokopedia Mitra Toppers    Selain memberikan tempat untuk berjualan, Tokopedia juga memiliki layanan pinjaman modal online yang dapat memudahkan UKM dalam mencari modal usaha. Layanan pinjaman modal ini diberi nama Tokopedia Mitra Toppers. Dalam upaya memberikan pengalaman yang nyaman dalam meminjam modal melalui Tokopedia Mitra Toppers, dibutuhkan evaluasi pada website dari segi desain. Penelitian ini dilakukan untuk mengevaluasi tingkat kenyamanan UKM dalam berinteraksi dengan Tokopedia Mitra Topper. Evaluasi desain ini dilakukan menggunakan metode kuantitatif dengan kuesioner online yang berisi pertanyaan SUS dan metode kualitatif dengan menggunakan heuristic evalution dengan prinsip desain 10 usability heuristic for user interfaces design dan usability testing. Hasil dari penelitian ini menunjukkan bahwa dibutuhkan perbaikan desain interaksi pada Tokopedia Mitra Toppers agar memudahkan UKM dalam menggunakannya.",Muhammad Fadly Uzzaki  ," Publisher: Depok : Fak. Ilmu Komputer, 2017 Call Number: SK-1585 (Softcopy SK-1067) ",Harry Budi Santoso
detail.jsp?id=46675&lokasi=lokal,"Evaluasi Rancangan Instruksional dan Antarmuka Massive Open Online Learning (MOOC): FutureLearn pada Short Course dan Kelas Tidak Berbayar Pembimbing : Dr. Dra. Kasiyah, M.Sc. & Harry Budi Santoso, S.Kom., M.Kom., Ph.D. MOOC merupakan mekanisme pembelajaran daring yang diikuti pelajar dalam jumlah besar dan tersebar di penjuru dunia. Penelitian ini berfokus pada salah satu MOOC platform, yaitu FutureLearn. FutureLearn mengklaim bahwa pembelajaran yang disediakan dalam kelas sudah efektif. Sejauh mana kelas pada FutureLearn efektif dijalankan perlu dianalisis dalam aspek desain instruksional, antarmuka, dan usability. Pengumpulan data dilakukan dengan pendekatan metode campuran, yaitu gabungan dari pendekatan secara kualitatif dan kuantitatif. Hasil analisis desain instruksional, antarmuka, usability serta survei kebutuhan pengguna digunakan sebagai acuan untuk perancangan rekomendasi perbaikan desain FutureLearn dengan metode user-centered design. Hasil penelitian menunjukkan beberapa aspek perlu penyempurnaan, antara lain, forum diskusi, desain pencarian kelas berdasarkan kategori, dan dialog setiap memasuki kelas. Diusulkan komponen baru untuk mendukung aktivitas pembelajaran seperti course info dan instant messaging untuk meningkatkan interaksi antara pelajar dengan pengajar. Rekomendasi perbaikan desain FutureLearn membantu pelajar dalam mengikuti aktivitas pembelajaran. Perbaikan mempertimbangkan karakteristik pengguna yang direrfleksikan melalui persona.",Tinna Fauziah Azhar  ," Publisher: Depok: Fakultas Ilmu Komputer Universias Indonesia, 2019 Call Number: SK-1714 (Softcopy SK-1196) ",Kasiyah Junus
detail.jsp?id=46685&lokasi=lokal,"Evaluasi usability alur pembelian barang pada platform e-Commerce versi mobile : Studi Kasus: Shopee, Tokopedia, dan Bukalapak Pembimbing : Harry Budi Santoso, Ph.D dan Suci Fadhilah S.Kom., M.A. Di era saat ini, transaksi jual-beli dapat dilakukan melalui e-commerce platform. Dengan adanya kebutuhan yang cukup banyak dari masyarakat, berbagai macam e-Commerce muncul. Beberapa e-Commerce yang terkemuka di Indonesia adalah Shopee, Tokopedia, dan Bukalapak. Proses jual-beli barang merupakan aktivitas mendasar dan utama pada e- Commerce. Akibatnya, desain sistem dalam melakukan jual-beli harus menjadi perhatian utama. Batasan penelitian ini adalah mengkaji aktivitas pembelian barang. Penelitian ini bertujuan untuk meningkatkan usability alur pembelian barang. Evaluasi usability dilakukan menggunakan metode mixed methods dengan menggabungkan data kuantitatif dengan kualitatif. Data kuantitatif diperoleh menggunakan kuesioner daring, sedangkan data kualitatif didapatkan menggunakan usability testing dengan pemetaan terhadap Shneidermans Eight Golden Rules of Interface Design. Kuesioner daring dilakukan untuk melakukan validasi masalah dan menemukan permasalahan yang umum terjadi pada proses pembelian barang. Usability testing dilakukan untuk menemukan permasalahan proses pembelian barang lebih mendalam. Dari keseluruhan studi yang dilakukan, didapati permasalahan yang perlu diperbaiki dari ketiga platform. Desain alternatif dirancang untuk memperbaiki permasalahan yang ditemukan dari ketiga platform studi kasus. Setelah itu, evaluasi kualititatif dilakukan kembali untuk melakukan evaluasi terhadap desain alternatif yang telah dirancang.",Bella Nadhifah Agustina  ," Publisher: Depok: Fakultas Ilmu Komputer Universias Indonesia, 2019 Call Number: SK-1722 (Softcopy SK-1204) ",Harry Budi Santoso
detail.jsp?id=46168&lokasi=lokal,"Evaluasi Usability dan Desain Perbaikan Sistem Informasi Akademik Next Generation (SIAK-NG) dengan Pendekatan User-Centered Design Sistem Informasi Akademik Next Generation (SIAK-NG) adalah sistem informasi akademik Universitas Indonesia yang digunakan oleh mahasiswa Universitas Indonesia untuk menunjang kegiatan akademik. Sejak 2004 dikembangkan, belum pernah dilakukan pernelitian terkait evaluasi usability dari SIAK-NG hingga saat ini. Untuk meningkatkan kepuasan dan kenyamanan mahasiswa sebagai pengguna SIAK-NG, dibutuhkan penelitian evaluasi usability. Evaluasi usability dan perancangan desain perbaikan SIAK-NG dilakukan dengan menggunakan pendekatan User-Centered Design. Evaluasi dilakukan dengan survei online, usability testing, dan contextual interview menggunakan metode kuantitatif dan kualitatif. Hasil penelitian menunjukkan bahwa usability SIAK-NG perlu diperbaiki berdasarkan prinsip Golden Rules of Interface Design. Desain perbaikan dirancang dalam bentuk prototype untuk melakukan perbaikan berdasarkan temuan masalah.",Irsyadillah Putra llyas  ," Publisher: Depok: Fakultas Ilmu Komputer Universitas Indonesia, 2018 Call Number: SK-1631 (Softocpy SK-1113) ",Harry Budi Santoso
